puuid,player,label,smurf_score,judgment,confidence,account_level,current_tier,current_rank,matches_count,avg_kd,avg_kda,avg_hs_pct,win_rate,avg_dpr,avg_kpr,kd_rank_deviation,hs_rank_deviation,hs_kd_compound,kd_bimodal_score,tank_streak_max,kd_cliff_drop_rate,intentional_loss_rate,rank_gap,perf_rank_ratio_kd,perf_level_ratio,peak_tier_v3,peak_current_gap_v3,iso_score,lof_score,ocsvm_score,gmm_score,rule_score
31627990-9287-5d10-8a50-530127fab694,aruururu#5212,0,13.9,🟢 通常プレイヤー,高,112.0,10.0,Silver 2,43.0,0.9418,1.2468,0.25643,0.5581,115.297,0.61105,-0.0388,1.6071,0.00242,0.026,2.0,0.0238,0.093,0.0,1.4128,1.6819,10.0,0.0,17.77,1.05,3.83,50.41,3.0
b2745afc-4c07-5714-9394-e443e1527f9e,梶佐久間#絶対助ける,0,7.3,🟢 通常プレイヤー,高,210.0,10.0,Silver 2,63.0,0.8882,1.1545,0.14787,0.459,128.27,0.67536,-0.2943,-0.2022,0.00131,0.0015,1.0,0.0,0.0317,3.0,1.3323,0.8459,13.0,3.0,5.45,0.12,3.75,48.82,0.0
539cce0b-02a5-509d-8206-087488422578,ClockyRain#1273,0,10.5,🟢 通常プレイヤー,高,335.0,19.0,Diamond 2,139.0,1.0956,1.5041,0.19982,0.5515,131.141,0.68699,-0.6814,0.1637,0.00219,0.0078,2.0,0.0217,0.0144,4.0,0.8649,0.6541,23.0,4.0,11.9,0.33,3.94,50.47,0.0
74f61346-0a8f-5c36-b72d-abd9a85c1d44,melon#Y780,0,14.1,🟢 通常プレイヤー,高,107.0,9.0,Silver 1,20.0,1.1589,1.6427,0.19516,0.6,117.743,0.66488,0.9948,0.586,0.00226,0.025,1.0,0.0,0.05,0.0,1.9315,2.1662,9.0,0.0,15.84,1.04,3.55,51.52,6.0
93e421e0-6a29-5bf0-91c5-18ac54d6c6be,PACA soft Armor#Lv2,0,11.1,🟢 通常プレイヤー,高,214.0,14.0,Gold 3,97.0,0.8341,1.1247,0.25821,0.4842,123.613,0.62479,-0.8996,1.4702,0.00215,0.0045,1.0,0.0,0.0309,1.0,0.8937,0.7795,15.0,1.0,13.59,0.41,3.87,50.03,0.0
5e9fb306-f8e7-53db-b388-9f9fbdd6c333,ネオン使ってるやつ全員#gomi,0,6.6,🟢 通常プレイヤー,高,130.0,12.0,Gold 1,47.0,1.1662,1.4831,0.22483,0.4894,142.656,0.73078,0.4843,0.9139,0.00262,0.0149,1.0,0.0,0.0,2.0,1.4578,1.7942,14.0,2.0,3.63,0.23,3.28,49.52,0.0
b0a9a864-769c-5ee6-a327-3c96fe05f7c9,漆黒のダークネス森田#666,0,7.4,🟢 通常プレイヤー,高,180.0,13.0,Gold 2,52.0,0.9159,1.3365,0.16673,0.5577,122.046,0.61111,-0.5587,-0.0546,0.00153,0.0104,1.0,0.0196,0.0385,2.0,1.0568,1.0177,15.0,2.0,5.23,0.12,3.81,49.27,0.0
e063b845-200d-5c6e-800f-b118fe9f2143,何処ぞのcaveira#ace,0,11.4,🟢 通常プレイヤー,高,206.0,9.0,Silver 1,84.0,1.0609,1.4393,0.10783,0.5422,143.922,0.77884,0.5283,-0.8695,0.00114,0.0043,1.0,0.0241,0.0,4.0,1.7682,1.03,13.0,4.0,14.22,0.49,3.63,50.49,0.0
065fcb29-8b2a-5afe-a920-a86234418fb2,上半身が馬で下半身がケンタウロス#ただの馬,0,9.7,🟢 通常プレイヤー,高,377.0,10.0,Silver 2,89.0,1.1235,1.371,0.19651,0.4944,136.804,0.75805,0.826,0.6084,0.00221,0.0076,2.0,0.0227,0.0112,3.0,1.6852,0.596,13.0,3.0,8.37,0.33,3.55,51.65,2.0
beaee25b-b490-5e2c-8ff6-b6acbc13e73b,match161211#2149,0,10.9,🟢 通常プレイヤー,高,262.0,13.0,Gold 2,115.0,1.2185,1.6225,0.19286,0.4727,133.454,0.71566,0.7021,0.3811,0.00235,0.0127,2.0,0.0,0.0261,2.0,1.406,0.9302,15.0,2.0,13.29,0.48,3.45,49.95,0.0
e33bbd6b-a67b-513f-a1ec-2eb230246bea,MIKAZUKI AUGUS#EXV2,0,10.3,🟢 通常プレイヤー,高,210.0,11.0,Silver 3,57.0,1.1956,1.5906,0.23369,0.5789,145.5,0.76217,1.1696,1.2281,0.00279,0.0,0.0,0.0179,0.0,4.0,1.6304,1.1387,15.0,4.0,7.59,0.39,3.58,49.47,7.0
64e2f94d-1316-5a2d-bf04-16e6862ad5f5,しなもろーる#パチモン,0,8.4,🟢 通常プレイヤー,高,268.0,16.0,Platinum 2,130.0,1.0609,1.3223,0.23317,0.4524,146.345,0.76903,-0.33,0.8861,0.00247,0.0128,1.0,0.0155,0.0462,0.0,0.9946,0.7917,16.0,0.0,7.89,0.23,3.52,48.89,0.0
2885d460-5fac-5faa-8c64-6188ac735b65,半ケツプレイ#0000,0,12.8,🟢 通常プレイヤー,高,66.0,12.0,Gold 1,33.0,1.1969,1.4639,0.20998,0.5152,155.575,0.8354,0.6123,0.6664,0.00251,0.0083,1.0,0.0312,0.0303,2.0,1.4962,3.6271,14.0,2.0,11.69,0.73,3.32,49.4,10.0
57eff430-153a-58fa-a8d0-a67ae3800eda,HORCRUX#2700,0,6.9,🟢 通常プレイヤー,高,195.0,14.0,Gold 3,86.0,1.1407,1.475,0.18761,0.5059,144.884,0.77007,0.3778,0.2936,0.00214,0.0057,2.0,0.0118,0.0,2.0,1.2222,1.1699,16.0,2.0,4.08,0.12,3.54,49.64,0.0
c9ad8de7-3198-5116-bf74-1caa3f15eaaf,aiwawa#5149,0,13.2,🟢 通常プレイヤー,高,394.0,15.0,Platinum 1,224.0,0.9406,1.3288,0.11507,0.518,128.539,0.63988,-0.7756,-1.0821,0.00108,0.0096,2.0,0.0224,0.0491,1.0,0.9406,0.4774,16.0,1.0,18.4,0.59,3.85,50.35,0.0
22e8d8e4-43c5-57f2-b75a-6fdfc591b2aa,sanjo#望遠鏡,0,9.8,🟢 通常プレイヤー,高,328.0,16.0,Platinum 2,141.0,1.1311,1.5056,0.25437,0.5745,128.426,0.69235,-0.0701,1.2395,0.00288,0.0068,1.0,0.0214,0.0142,3.0,1.0604,0.6897,19.0,3.0,10.81,0.46,3.72,49.55,0.0
04870fae-011d-577e-a289-d1859c8c9ed9,nadepaka#12345,0,12.8,🟢 通常プレイヤー,高,98.0,9.0,Silver 1,24.0,1.0516,1.349,0.09662,0.4583,131.263,0.72431,0.4838,-1.0564,0.00102,0.0,0.0,0.0,0.0,1.0,1.7527,2.1461,10.0,1.0,15.1,0.8,3.66,50.96,3.0
a0da6c3b-3975-5bef-a727-496e5deb439f,劇場版ちいかわハチワレの逆襲#サイコパス,0,7.9,🟢 通常プレイヤー,高,68.0,12.0,Gold 1,36.0,0.9833,1.4511,0.13294,0.5143,131.94,0.67705,-0.2781,-0.6177,0.00131,0.0046,1.0,0.0,0.0278,2.0,1.2291,2.8919,14.0,2.0,6.48,0.35,3.63,49.31,0.0
aa23f337-2718-5a33-aa4e-5da28d624138,pepa#3426,0,12.6,🟢 通常プレイヤー,高,157.0,13.0,Gold 2,45.0,1.2286,1.4742,0.29742,0.3333,130.649,0.7073,0.7443,2.1236,0.00365,0.0079,1.0,0.0227,0.0222,1.0,1.4177,1.5651,14.0,1.0,16.12,1.41,3.54,50.97,0.0
496e62fe-d613-50d7-9aa8-1ad38169a395,ぽよた#ぽよた,0,74.0,🟠 スマーフ可能性高,中,26.0,7.0,Bronze 2,10.0,0.478,0.7939,0.15584,0.6,61.094,0.27885,-1.9576,0.0974,0.00075,0.0,3.0,0.0,0.4,0.0,1.0244,3.6773,7.0,0.0,67.2,7.27,8.23,66.43,53.0
1ab1d9c2-3073-5be0-b355-67891614f265,踊りドリー#最高だze,1,73.6,🟠 スマーフ可能性高,高,65.0,11.0,Silver 3,34.0,1.4713,1.8012,0.31229,0.5588,175.044,0.96028,2.4826,2.5381,0.00459,0.0441,1.0,0.0606,0.0882,4.0,2.0064,4.5272,15.0,4.0,46.19,2.54,4.57,55.41,100.0
ad8fa581-8a68-5654-8fd3-a7481572ac43,限界リーマンさわ#25歳,1,71.8,🟠 スマーフ可能性高,高,97.0,14.0,Gold 3,18.0,1.6606,2.0097,0.21837,0.5556,193.413,1.07714,2.544,0.8061,0.00363,0.0,0.0,0.0588,0.0,3.0,1.7792,3.4238,17.0,3.0,56.37,1.5,4.82,60.04,69.0
7be81336-d109-5903-86ef-76e8b2a22c56,Yuumi#ゆうみ,1,71.6,🟠 スマーフ可能性高,高,246.0,12.0,Gold 1,15.0,1.7225,2.0487,0.20599,0.7333,188.446,1.06216,2.8023,0.5998,0.00355,0.0267,1.0,0.0,0.0667,0.0,2.1532,1.4004,12.0,0.0,60.49,0.19,5.73,69.07,55.0
0e4214b3-10b0-5cc2-b671-ab0deb6d42d4,choss#3150,1,71.4,🟠 スマーフ可能性高,高,39.0,13.0,Gold 2,15.0,1.603,1.9459,0.26386,0.4667,175.232,0.95147,2.304,1.5644,0.00423,0.0,0.0,0.0714,0.0,0.0,1.8496,8.2203,13.0,0.0,38.4,1.4,4.56,54.19,100.0
a2335384-278e-5884-815a-9f28c9d741c9,Tinko#666,1,71.4,🟠 スマーフ可能性高,高,25.0,9.0,Silver 1,13.0,1.3648,1.6557,0.2001,0.3846,132.354,0.76171,1.9755,0.6683,0.00273,0.0592,1.0,0.1667,0.0769,3.0,2.2747,10.9188,12.0,3.0,38.29,3.87,4.7,58.56,93.0
4cbd69e7-1bf7-5609-affc-af9b35f7ebc3,ディスクアップ専業#4423,1,71.3,🟠 スマーフ可能性高,高,67.0,9.0,Silver 1,17.0,1.7015,1.9682,0.1623,0.4118,118.142,0.70134,3.5786,0.0383,0.00276,0.0,0.0,0.0,0.0,1.0,2.8358,5.0791,10.0,1.0,40.26,7.02,7.3,64.72,78.0
808d0ca6-d5c4-5f87-ad8b-2b842bda474f,ぞやTwitch#115,0,71.1,🟠 スマーフ可能性高,中,61.0,10.0,Silver 2,31.0,1.0708,1.3128,0.21401,0.4516,125.08,0.67955,0.5755,0.9002,0.00229,0.1145,8.0,0.0667,0.3226,2.0,1.6063,3.511,12.0,2.0,55.0,7.38,8.24,62.24,58.0
9738170e-a1d2-5027-8cd6-7d7f3537e21c,イダバー#00819,1,70.4,🟠 スマーフ可能性高,中,26.0,12.0,Gold 1,14.0,1.5108,2.225,0.0972,0.6429,146.143,0.88398,1.92,-1.2134,0.00147,0.0,0.0,0.0,0.0,1.0,1.8885,11.6215,13.0,1.0,48.14,2.77,5.42,59.45,71.0
e425a265-f5ea-59cf-a8f5-0c78984bcd50,ZeNeTsU#777,1,70.2,🟠 スマーフ可能性高,高,188.0,0.0,Unrated,5.0,1.6725,1.9593,0.27548,0.4,212.271,1.18242,3.4405,1.9246,0.00461,0.0,0.0,0.0,0.0,0.0,2.7875,1.7793,14.0,0.0,71.43,21.32,21.66,89.98,74.5
1f575a55-64cc-574c-bf06-131694f4b22f,dice#8589,1,70.2,🟠 スマーフ可能性高,中,29.0,12.0,Gold 1,6.0,1.4902,1.6941,0.23973,0.5,156.49,0.91623,1.834,1.1621,0.00357,0.0,0.0,0.0,0.0,0.0,1.8627,10.277,12.0,0.0,40.41,2.46,4.25,57.37,85.0
cf6ace4a-bd11-5e5d-962b-0f67c9b1ba36,f0rsachaM#ber,1,69.2,🟠 スマーフ可能性高,中,181.0,11.0,Silver 3,63.0,1.3194,1.5641,0.16647,0.4603,124.291,0.70819,1.7589,0.1079,0.0022,0.03,2.0,0.0484,0.0,0.0,1.7991,1.4579,11.0,0.0,51.65,1.45,65.8,24.22,28.0
f1870536-0f55-5d68-988e-11337677632d,発発なpants#3051,1,69.1,🟠 スマーフ可能性高,高,152.0,12.0,Gold 1,24.0,1.7376,2.096,0.22137,0.7083,183.651,0.99705,2.865,0.8562,0.00385,0.0,0.0,0.0435,0.0,3.0,2.172,2.2863,15.0,3.0,45.08,2.14,5.26,54.73,72.0
28c40b1c-3e25-51f6-9497-beb4e6e17c63,バレイショ#1111,1,68.8,🟠 スマーフ可能性高,中,30.0,12.0,Gold 1,12.0,1.4877,2.0447,0.26032,0.4167,172.589,0.95288,1.8238,1.5053,0.00387,0.0,0.0,0.0,0.0,0.0,1.8596,9.918,12.0,0.0,40.76,2.29,4.75,55.69,76.0
d11b5c14-0a97-5e62-80eb-2c17202b6b84,owl79#2038,1,68.5,🟠 スマーフ可能性高,中,41.0,11.0,Silver 3,12.0,1.1898,1.519,0.40744,0.75,148.98,0.81877,1.1419,4.124,0.00485,0.0,0.0,0.0909,0.0,0.0,1.6225,5.8039,11.0,0.0,41.79,5.7,5.27,59.22,67.0
67851764-c15e-5047-8b1f-abbad6eb2310,ベイティングマスター竹内#先行け,1,67.3,🟠 スマーフ可能性高,中,191.0,15.0,Platinum 1,100.0,1.6405,1.8972,0.35324,0.6289,171.734,0.96116,1.8165,2.8874,0.00579,0.0099,1.0,0.0202,0.02,4.0,1.6405,1.7178,19.0,4.0,47.62,3.28,5.06,59.46,51.0
05ec876f-efde-5434-aa14-e9722096215c,torin9s#かっけぇw,1,67.2,🟠 スマーフ可能性高,中,154.0,13.0,Gold 2,64.0,1.2851,1.6549,0.22256,0.6032,150.04,0.83942,0.9794,0.8761,0.00286,0.0244,2.0,0.0635,0.0625,1.0,1.4828,1.6689,14.0,1.0,47.85,1.94,76.09,24.22,31.0
ff5c69b0-aad2-5e90-823a-a32b31cd02d6,shoutaman#1023,1,66.8,🟠 スマーフ可能性高,中,43.0,12.0,Gold 1,20.0,1.2979,1.5983,0.37,0.45,160.906,0.86101,1.0331,3.3333,0.0048,0.0525,1.0,0.0526,0.1,0.0,1.6224,6.037,12.0,0.0,41.12,3.16,3.89,55.31,64.0
9a085828-0dab-591e-9f53-923079777d2b,kaede0921#0321,1,66.6,🟠 スマーフ可能性高,高,34.0,12.0,Gold 1,11.0,1.4466,1.7148,0.21576,0.7273,183.533,0.98613,1.6524,0.7627,0.00312,0.0,0.0,0.0,0.0,1.0,1.8082,8.5093,13.0,1.0,39.95,1.71,4.84,57.61,62.0
